8.9000	0.864
8.9250	0.842
8.9500	0.820
8.9750	0.798
9.0000	0.774
9.0250	0.751
9.0500	0.727
9.0750	0.704
9.1000	0.680
9.1250	0.657
9.1500	0.635
9.1750	0.613
9.2000	0.592
9.2250	0.573
9.2500	0.554
9.2750	0.537
9.3000	0.523
9.3250	0.511
9.3500	0.500
9.3750	0.490
9.4000	0.482
9.4250	0.478
9.4500	0.474
9.4750	0.473
9.5000	0.474
9.5250	0.478
9.5500	0.482
9.5750	0.490
9.6000	0.500
9.6250	0.511
9.6500	0.523
9.6750	0.537
9.7000	0.553
9.7250	0.569
9.7500	0.587
9.7750	0.606
9.8000	0.625
9.8250	0.646
9.8500	0.666
9.8750	0.686
9.9000	0.707
9.9250	0.727
9.9500	0.748
9.9750	0.767
10.0000	0.785
10.0250	0.804
10.0500	0.820
10.0750	0.837
10.1000	0.851
10.1250	0.864
10.1500	0.875
10.1750	0.884
10.2000	0.894
10.2250	0.900
10.2500	0.903
10.2750	0.906
10.3000	0.908
10.3250	0.906
10.3500	0.903
10.3750	0.900
10.4000	0.894
10.4250	0.888
10.4500	0.878
10.4750	0.869
10.5000	0.858
10.5250	0.845
10.5500	0.833
10.5750	0.818
10.6000	0.803
10.6250	0.789
10.6500	0.773
10.6750	0.756
10.7000	0.740
10.7250	0.724
10.7500	0.707
10.7750	0.691
10.8000	0.675
10.8250	0.660
10.8500	0.644
10.8750	0.630
10.9000	0.617
10.9250	0.605
10.9500	0.594
10.9750	0.583
11.0000	0.575
11.0250	0.567
11.0500	0.561
11.0750	0.556
11.1000	0.551
11.1250	0.550
11.1500	0.550
11.1750	0.550
11.2000	0.553
11.2250	0.556
11.2500	0.562
11.2750	0.569
11.3000	0.575
11.3250	0.584
11.3500	0.594
11.3750	0.605
11.4000	0.616
11.4250	0.628
11.4500	0.641
11.4750	0.655
11.5000	0.669
11.5250	0.682
11.5500	0.696
11.5750	0.710
11.6000	0.724
11.6250	0.737
11.6500	0.749
11.6750	0.762
11.7000	0.774
11.7250	0.785
11.7500	0.795
11.7750	0.804
11.8000	0.814
11.8250	0.820
11.8500	0.826
11.8750	0.831
11.9000	0.836
11.9250	0.837
11.9500	0.839
11.9750	0.839
12.0000	0.839
12.0250	0.836
12.0500	0.833
